sub,status,duration_s,grad_std
sub-RC4121,ok,10.826723098754883,0.02617892250418663
sub-RC4207,ok,9.84263014793396,0.024601345881819725
sub-RC4117,ok,8.750816822052002,0.02711421810090542
sub-RC4212,ok,9.705675601959229,0.025344548746943474
sub-RC4109,ok,11.759810209274292,0.026050150394439697
sub-RC4204,ok,8.603544473648071,0.027409758418798447
sub-RC4219,ok,9.391258001327515,0.025504518300294876
sub-RC4220,ok,11.133315086364746,0.02559591457247734
sub-RC4129,ok,9.514723300933838,0.02766324393451214
sub-RC4210,ok,7.172524929046631,0.027526510879397392
sub-RC4107,ok,8.57337498664856,0.02577553130686283
sub-RC4206,ok,8.81537413597107,0.02580847404897213
sub-RC4130,ok,11.418104887008667,0.025564031675457954
sub-RC4118,ok,11.725909948348999,0.025030292570590973
sub-RC4116,ok,9.48011302947998,0.02781394124031067
sub-RC4111,ok,8.765340566635132,0.025495318695902824
sub-RC4110,ok,8.490180492401123,0.026288999244570732
sub-RC4115,ok,10.499363660812378,0.025058481842279434
sub-RC4225,ok,12.737539052963257,0.026153337210416794
sub-RC4122,ok,11.732709169387817,0.02529868669807911
sub-RC4114,ok,12.908300876617432,0.027650997042655945
sub-RC4112,ok,9.747380018234253,0.02739364467561245
sub-RC4227,ok,10.633408069610596,0.02777734212577343
sub-RC4120,ok,11.632619619369507,0.026072323322296143
sub-RC4217,ok,8.685114622116089,0.02733389101922512
