region,spearman_r,p,residual_std
rh_entorhinal,-0.20704717489129082,2.1252966907495418e-05,0.3661713726438511
lh_entorhinal,-0.31095367293588283,9.371535062901646e-11,0.3550748224920884
rh_temporalpole,-0.25109989872224564,2.181836792545639e-07,0.31497997040016507
lh_temporalpole,-0.31732659073246694,3.672693364690767e-11,0.30381500775217424
lh_parahippocampal,-0.2950815103172751,8.778889438422285e-10,0.2926655454278486
rh_transversetemporal,-0.3231326394678358,1.5340938544979863e-11,0.27671401126653594
lh_transversetemporal,-0.3059345282620338,1.9294345020271666e-10,0.27020690532527936
lh_frontalpole,-0.18624764352482426,0.00013554974610579826,0.2617159727944554
rh_parahippocampal,-0.28996969093174735,1.7537116065692617e-09,0.2590219653429544
rh_frontalpole,-0.19295560154460673,7.615528050397436e-05,0.2421689294332091
lh_superiortemporal,-0.3805294575587878,9.528768341244074e-16,0.22520684279178513
lh_parsorbitalis,-0.16032316393903748,0.0010476611437818884,0.21872887038873026
lh_caudalanteriorcingulate,-0.07691623513513225,0.11770134326615637,0.2112617463811434
rh_superiortemporal,-0.38225272791565096,6.90532243221978e-16,0.20849800563514997
rh_rostralanteriorcingulate,-0.08042956321825318,0.10180100435602248,0.2044639474989898
rh_parstriangularis,-0.2762383747316462,1.0518594668858302e-08,0.20286394023025967
rh_caudalanteriorcingulate,-0.1106968216227578,0.024120850874336304,0.19829021599867408
lh_parstriangularis,-0.316040624741604,4.44486281147232e-11,0.1965828904755056
lh_rostralanteriorcingulate,-0.11203576207266411,0.02245106797561395,0.19573951390848
rh_parsorbitalis,-0.23641573165438692,1.1112099792041217e-06,0.19567246387170972
lh_superiorfrontal,-0.31106063580957005,9.227040052699309e-11,0.19363645673317376
rh_parsopercularis,-0.2623731938771915,5.82336852504157e-08,0.19035847458201757
lh_supramarginal,-0.30815269964455283,1.4046276585000872e-10,0.18523922817081281
rh_superiorfrontal,-0.30333245607898357,2.7905407144487346e-10,0.18496265623480945
lh_caudalmiddlefrontal,-0.281698547501503,5.219785623787027e-09,0.1827467161841655
rh_caudalmiddlefrontal,-0.2339470653631632,1.4462851685100763e-06,0.18180224789199534
lh_precentral,-0.35472896200767506,9.464512754696017e-14,0.18104259012644544
rh_precentral,-0.3202092801406912,2.386519659274082e-11,0.18023820439469104
lh_parsopercularis,-0.3382056795036045,1.4556044945373743e-12,0.1794711501115978
lh_bankssts,-0.34647471141711195,3.782544896538607e-13,0.17614471401380757
lh_paracentral,-0.29232942714274324,1.2763610817009979e-09,0.17488270345632298
lh_middletemporal,-0.3828465975042509,6.177265335810677e-16,0.17333369861771167
rh_paracentral,-0.32255723169837963,1.6741344164759e-11,0.1732893338651063
rh_isthmuscingulate,-0.19694640763215668,5.353450578451517e-05,0.17242781313011377
rh_supramarginal,-0.33275497017076766,3.4626362567483605e-12,0.17181593353992258
rh_precuneus,-0.31947794859551465,2.6634952856484315e-11,0.1687766574562103
rh_bankssts,-0.3077206177029045,1.4945407792274461e-10,0.16772488003301228
rh_superiorparietal,-0.25695981811658775,1.1066909849165716e-07,0.16700222306729368
rh_middletemporal,-0.3255620383960002,1.0587294558110801e-11,0.16673917920889392
lh_inferiorparietal,-0.3054061608428955,2.0801747982258913e-10,0.16672660590968913
lh_insula,-0.2816409151380257,5.258953509486114e-09,0.16589661550950102
rh_insula,-0.2167869542539438,8.34767757563749e-06,0.16425711639095605
lh_inferiortemporal,-0.3358478251040211,2.1220781891544864e-12,0.1640698879601357
lh_superiorparietal,-0.25624360602637536,1.2035084793881677e-07,0.16374721036932252
rh_inferiorparietal,-0.3085057563434757,1.3350894097143292e-10,0.1637274712824443
rh_lateralorbitofrontal,-0.284993478461785,3.394669442986111e-09,0.16184812199557025
rh_postcentral,-0.29519384564941503,8.645066482784375e-10,0.16134985023007048
lh_precuneus,-0.3094820261446692,1.1597978209229228e-10,0.16105237557452892
lh_pericalcarine,-0.24596082515840703,3.902773393122675e-07,0.1609199008281597
lh_isthmuscingulate,-0.2324500425159569,1.7442271657755924e-06,0.16048250860965957
rh_inferiortemporal,-0.25215504288140256,1.9332114687427206e-07,0.159214662999659
lh_postcentral,-0.34358958625072156,6.080768140119609e-13,0.15800736513945443
rh_pericalcarine,-0.22671664510369766,3.0782595387544813e-06,0.15712919610234372
lh_fusiform,-0.34625637794475533,3.92157806309474e-13,0.15130901987322437
rh_fusiform,-0.2978669784432837,5.98635935341578e-10,0.15114742424500904
lh_rostralmiddlefrontal,-0.3085441610882324,1.3277305015495625e-10,0.14980481524973835
rh_rostralmiddlefrontal,-0.29856701223096804,5.43367137176259e-10,0.1475784087147637
lh_posteriorcingulate,-0.18272982276673208,0.00018865972277689154,0.14756136157099725
rh_posteriorcingulate,-0.1617905466295217,0.0009403154519963391,0.14654917284251107
rh_medialorbitofrontal,-0.1848233032166458,0.0001528141095251736,0.14639443099849916
lh_lingual,-0.3255937358034036,1.0535956367776259e-11,0.14614535251633087
lh_cuneus,-0.2474693732834344,3.2946902806502234e-07,0.14500949970198745
lh_lateralorbitofrontal,-0.20918244615750395,1.737995328624193e-05,0.1432703606153554
rh_cuneus,-0.26215610868997397,5.976928018068524e-08,0.14237885312288356
rh_lingual,-0.30863318871466294,1.310823093228665e-10,0.13976646315612057
lh_medialorbitofrontal,-0.2213419526654988,5.312277285932979e-06,0.13883036545981053
rh_lateraloccipital,-0.24354343074743692,5.108040315326739e-07,0.13756160178556534
lh_lateraloccipital,-0.27920180160319363,7.2048392674416896e-09,0.12389117482884225
