region,n,coef_motion,se_motion,p_motion,aic_base,aic_motion,delta_aic,p_fdr,sig_fdr
lh_bankssts,415,-0.054527544584515676,0.01766327275377623,0.002021482608440511,-461.9838790418757,-469.4966875981281,7.512808556252423,0.010521787356614439,True
lh_caudalanteriorcingulate,415,-0.02836951486639696,0.027012361174403414,0.2936068870417601,-117.79455637293542,-116.90680758073164,-0.8877487922037801,0.43976256255010393,False
lh_caudalmiddlefrontal,415,-0.03255722768484746,0.01728050570020502,0.059559066294121187,-486.1119398868827,-487.68071781945696,1.5687779325742781,0.1350005502666747,False
lh_cuneus,415,0.017162664413337574,0.016078640410319926,0.28578216310546867,-548.3643100485739,-547.5131929436545,-0.8511171049193536,0.43976256255010393,False
lh_entorhinal,415,-0.17815667419863476,0.041387068972977725,1.672530842260865e-05,253.53333576888488,237.23253430266087,16.300801466224016,0.00044059391141646186,True
lh_fusiform,415,-0.05706438697128339,0.01577659833334989,0.0002980058762505387,-552.2489810583718,-563.253300185171,11.00431912679926,0.002533049948129579,True
lh_inferiorparietal,415,-0.018111778740305843,0.014736771269946667,0.21906450810784672,-620.3218890375526,-619.8442826977932,-0.47760633975940436,0.36332650125203847,False
lh_inferiortemporal,415,-0.0650794654342338,0.017544921072242304,0.00020782885790338978,-463.4113967794525,-475.07676740303674,11.665370623584238,0.0020255461128327818,True
lh_isthmuscingulate,414,-0.015061385866343882,0.017685744921986053,0.39442968861320693,-495.03366453255586,-493.7653354874701,-1.2683290450857498,0.5364243765139614,False
lh_lateraloccipital,415,-0.0021367545921595326,0.013367555335286482,0.8730021312884745,-702.7561746306112,-700.7819733463057,-1.9742012843055363,0.9110862928759588,False
lh_lateralorbitofrontal,415,-0.04584623208839964,0.017472718530586184,0.008693564420423912,-473.6053677346048,-478.4995106364742,4.894142901869429,0.0295581190294413,True
lh_lingual,415,-0.010562312688742907,0.013371748487498999,0.42958754470030147,-701.8921257263444,-700.5216586883039,-1.3704670380404878,0.5558661616508981,False
lh_medialorbitofrontal,415,-0.03115694050128093,0.01694190381186624,0.06590841994262188,-502.7045225999066,-504.1055542114374,1.4010316115307546,0.1445733082612351,False
lh_middletemporal,415,-0.07191363414126217,0.017213963583615512,2.945575392456384e-05,-475.62438620344295,-490.88297177060656,15.258585567163607,0.0005007478167175853,True
lh_parahippocampal,415,-0.11008195105197462,0.03348623033663212,0.0010112441450190956,70.18122045178046,61.4101742084065,8.77104624337396,0.006876460186129849,True
lh_paracentral,415,-0.04589420332684708,0.018239458009193393,0.011862638487581232,-438.50971462950235,-442.8538771332677,4.344162503765347,0.03841235319788208,True
lh_parsopercularis,415,-0.0322943808709433,0.014808757517720138,0.029200998539645643,-613.0253261604187,-615.799765213593,2.7744390531743193,0.07942671602783614,False
lh_parsorbitalis,415,0.008592974735862525,0.02340722536049586,0.7135386179473974,-237.66811047251525,-235.80416790721034,-1.8639425653049102,0.7954200986954594,False
lh_parstriangularis,415,-0.030457595508661246,0.017170393184171018,0.07608899075075166,-491.8214096497527,-492.9864545339408,1.1650448841880916,0.16168910534534728,False
lh_pericalcarine,415,0.02646383585837617,0.017433492411192787,0.12901737204992828,-480.0447327953034,-480.36494901681203,0.3202162215086446,0.2436994805387534,False
lh_postcentral,415,-0.011864669274713966,0.014542714359267796,0.414586098708261,-632.1749523704846,-630.8464974473555,-1.3284549231290157,0.552781464944348,False
lh_posteriorcingulate,413,0.006899438495898092,0.016638967367435864,0.6783941498746653,-575.3345668394047,-573.5081510538519,-1.8264157855528538,0.7715255443819491,False
lh_precentral,415,-0.058558160912994886,0.016442463491726532,0.00036888504467237534,-518.3281548320467,-528.9415136248786,10.613358792831832,0.002787131448635725,True
lh_precuneus,415,-0.021715799054306505,0.014591884703968027,0.13669533442500215,-627.8145973873327,-628.0449195186114,0.23032213127874002,0.2512238578621661,False
lh_rostralanteriorcingulate,415,-0.04232897558886539,0.025295475858818497,0.09425226211289622,-170.59422725270434,-171.41209631929698,0.8178690665926354,0.19421678253566493,False
lh_rostralmiddlefrontal,415,-0.021169852903043435,0.013676561754208325,0.12164808315255649,-681.4017007511801,-681.8139671804109,0.41226642923084,0.23634484726782407,False
