subject,condition,image_rmse_before,image_rmse_after,image_mae_before,image_mae_after,grad_rmse_before,grad_rmse_after,grad_mae_before,grad_mae_after,image_rmse_change_pct,image_mae_change_pct,grad_rmse_change_pct,grad_mae_change_pct
sub-000103,headmotion1,0.08787795156240463,0.08460894227027893,0.03042200393974781,0.030131645500659943,0.05296127125620842,0.0506359301507473,0.018674379214644432,0.017755955457687378,-3.7199425271130555,-0.9544356106946015,-4.390644428099016,-4.918095249114503
sub-000103,headmotion2,0.10568371415138245,0.1023223027586937,0.037952687591314316,0.03712617978453636,0.05753447860479355,0.055321190506219864,0.02074468322098255,0.01963162235915661,-3.180633288373865,-2.177731958479549,-3.8468899905686853,-5.3655235414736016
sub-000148,headmotion1,0.0537276417016983,0.05191805213689804,0.011532737873494625,0.010885811410844326,0.02850760892033577,0.027309037744998932,0.006541023030877113,0.00619896175339818,-3.3680792744399617,-5.6094785969003285,-4.204390409192974,-5.229476732679611
sub-000148,headmotion2,0.05347900465130806,0.05230392515659332,0.012492065317928791,0.0120125412940979,0.02922464907169342,0.02888392098248005,0.00686253048479557,0.006725506857037544,-2.1972725602812715,-3.8386288546111818,-1.1658928337428547,-1.9966924454705421
sub-000149,headmotion1,0.1727140098810196,0.16239330172538757,0.06374410539865494,0.05950307846069336,0.060255374759435654,0.055423952639102936,0.02052422985434532,0.018497003242373466,-5.975605663224321,-6.65320645954358,-8.018242587689066,-9.877235961390568
sub-000149,headmotion2,0.16425453126430511,0.15391595661640167,0.05902707204222679,0.05520746111869812,0.061856962740421295,0.05726190283894539,0.020061779767274857,0.018325885757803917,-6.294240145659935,-6.470947637037117,-7.428524935436574,-8.652741828531893
sub-000159,headmotion1,0.039703235030174255,0.03837190195918083,0.00937537383288145,0.008871187455952168,0.024156900122761726,0.023717883974313736,0.0057242452166974545,0.005567499902099371,-3.3532105632742955,-5.377773579129114,-1.8173529973505562,-2.7382704385350585
sub-000159,headmotion2,0.04502961039543152,0.04346495121717453,0.010990257374942303,0.01024746522307396,0.026446331292390823,0.025895463302731514,0.00651097297668457,0.006187829654663801,-3.4747339906270454,-6.758642009257248,-2.0829656241121275,-4.963057336866967
sub-000175,headmotion1,0.2218027412891388,0.21140629053115845,0.1036260724067688,0.09821879863739014,0.07001523673534393,0.06337616592645645,0.029154477640986443,0.02594846300780773,-4.687250796611069,-5.218063025831192,-9.482322874923675,-10.996645773106142
sub-000175,headmotion2,0.04482647776603699,0.04306191951036453,0.01023315079510212,0.009460859932005405,0.031033795326948166,0.030086079612374306,0.007336223032325506,0.006998468656092882,-3.9364195975472818,-7.546950871342135,-3.0538182796833495,-4.603927317154635
sub-862915,headmotion1,0.16813717782497406,0.15730594098567963,0.05863243713974953,0.05399626865983009,0.0578332394361496,0.05361102893948555,0.018552226945757866,0.017062434926629066,-6.441904746711901,-7.907173411313598,-7.300664008844863,-8.030259782206112
sub-862915,headmotion2,0.04860040172934532,0.04666438698768616,0.012225537560880184,0.011429309844970703,0.02872815914452076,0.028101826086640358,0.007071910426020622,0.006711375433951616,-3.983536499226472,-6.5128237670078875,-2.180206029664314,-5.098127243558424
