sub,status,duration_s,grad_std
sub-000103_headmotion1,ok,10.62095832824707,0.026977596804499626
sub-000103_headmotion2,ok,9.939279556274414,0.026433859020471573
sub-000148_headmotion1,ok,9.953105926513672,0.01646414026618004
sub-000148_headmotion2,ok,9.713456630706787,0.016179917380213737
sub-000149_headmotion1,ok,9.846498012542725,0.023330336436629295
sub-000149_headmotion2,ok,10.063252210617065,0.024471305310726166
sub-000159_headmotion1,ok,9.94137978553772,0.015787212178111076
sub-000159_headmotion2,ok,9.856311321258545,0.01548842340707779
sub-000175_headmotion1,ok,10.837250709533691,0.02593366988003254
sub-000175_headmotion2,ok,10.548791646957397,0.020334286615252495
sub-862915_headmotion1,ok,10.597338438034058,0.023697009310126305
sub-862915_headmotion2,ok,10.311195850372314,0.01578388921916485
